Customer ID,Account Length (in months),Local Calls,Local Mins,Intl Calls,Intl Mins,Intl Active,Intl Plan,Extra International Charges,Customer Service Calls,Avg Monthly GB Download,Unlimited Data Plan,Extra Data Charges,State,Phone Number,Gender,Age,Under 30,Senior,Group,Number of Customers in Group,Device Protection & Online Backup,Contract Type,Payment Method,Monthly Charge,Total Charges,Churn Category,Churn Reason,Churn
3558-BXMZ,68,254,612.2,0,0,No,no,0,0,9,Yes,0,AR,340-4953,Male,61,No,No,No,0,Yes,Two Year,Credit Card,47,3187,,,No
0388-CPEE,64,274,768,0,0,No,no,0,0,7,Yes,0,ME,400-9510,Female,48,No,No,No,0,Yes,Month-to-Month,Credit Card,48,3049,,,No
2562-HWYM,74,407,1108.9,0,0,No,no,0,0,3,Yes,0,AZ,387-6103,Male,56,No,No,No,0,Yes,Two Year,Direct Debit,44,3237,,,No
3797-KBSC,71,136,355.2,0,0,No,no,0,0,13,Yes,0,MT,370-3450,Male,48,No,No,No,0,No,One Year,Credit Card,31,2180,,,No
8928-KDDO,53,146,316.3,0,0,No,no,0,0,0,No,0,MS,355-6291,Male,66,No,Yes,No,0,No,Two Year,Direct Debit,7,372,,,No
5582-SNME,1,5,12,0,0,No,no,0,0,0,No,0,IA,379-6506,Male,19,Yes,No,No,0,No,Month-to-Month,Credit Card,12,12,,,No
7652-MWGQ,38,197,417.5,0,0,No,no,0,0,11,Yes,0,VT,354-3783,Male,33,No,No,No,0,Yes,One Year,Direct Debit,63,2392,,,No
9413-CTHP,66,349,864,0,0,No,no,0,0,3,Yes,0,KY,401-7594,Female,69,No,Yes,No,0,Yes,One Year,Direct Debit,26,1739,,,No
1874-MSLN,4,11,33,0,0,No,no,0,0,4,Yes,0,AZ,334-2577,Male,34,No,No,No,0,No,Month-to-Month,Credit Card,15,63,,,No
4455-SIDH,70,236,701.2,0,0,No,no,0,0,12,Yes,0,MI,400-3637,Female,27,Yes,No,No,0,No,One Year,Direct Debit,66,4593,,,No
1457-BNEN,31,213,400,0,0,No,no,0,0,4,Yes,0,NM,383-4361,Female,58,No,No,No,0,No,One Year,Credit Card,13,407,,,No
2274-VJTM,42,195,457.2,0,0,No,no,0,0,4,Yes,0,CO,371-4306,Male,54,No,No,No,0,No,One Year,Credit Card,62,2556,,,No
2030-STOC,70,199,491.9,0,0,No,no,0,0,0,No,0,UT,403-4298,Male,37,No,No,No,0,No,Two Year,Credit Card,12,875,,,No
0334-QKJY,52,222,577.5,0,0,No,no,0,0,2,Yes,0,MA,337-4697,Female,38,No,No,No,0,Yes,One Year,Credit Card,37,1939,,,No
8840-GNVV,43,211,474.6,0,0,No,no,0,0,6,Yes,0,AL,383-1509,Female,35,No,No,No,0,Yes,Month-to-Month,Direct Debit,57,2451,,,No
8778-MXAA,63,249,564.3,0,0,No,no,0,0,6,Yes,0,AZ,407-7035,Female,51,No,No,No,0,No,Two Year,Direct Debit,27,1699,,,No
6377-YEVD,36,235,399,0,0,No,no,0,0,9,Yes,0,NJ,391-4652,Female,65,No,Yes,No,0,No,Two Year,Direct Debit,11,410,,,No
0111-ULQC,40,118,242.7,0,0,No,no,0,0,0,No,0,MO,409-1244,Female,51,No,No,No,0,No,Two Year,Credit Card,13,525,,,No
0921-JRAS,55,89,276.3,0,0,No,no,0,0,24,Yes,0,NE,352-7072,Female,27,Yes,No,No,0,Yes,One Year,Credit Card,39,2146,,,No
4190-OQWW,5,34,76.3,0,0,No,no,0,0,0,No,0,TX,370-7550,Female,34,No,No,No,0,No,Month-to-Month,Credit Card,10,56,,,No
1772-EVXU,34,85,306.3,0,0,No,no,0,0,5,Yes,0,AZ,354-4445,Male,57,No,No,No,0,No,Two Year,Direct Debit,44,1497,,,No
4640-ROSI,73,542,1171.3,0,0,No,no,0,0,0,No,0,MS,414-8718,Male,49,No,No,No,0,No,Two Year,Direct Debit,13,946,,,No
7232-MRQS,1,6,13,0,0,No,no,0,0,0,No,0,TX,409-5939,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,13,13,,,No
1736-FGSI,71,296,706,0,0,No,no,0,0,7,Yes,0,NE,331-4902,Male,78,No,Yes,No,0,No,One Year,Direct Debit,29,2045,,,No
1908-BNLT,14,58,127.3,0,0,No,no,0,0,7,Yes,0,NE,353-6870,Female,48,No,No,No,0,No,Month-to-Month,Direct Debit,35,502,,,No
9998-OFMS,64,263,644.9,0,0,No,no,0,0,3,Yes,0,NJ,390-6101,Male,64,No,No,No,0,No,Two Year,Direct Debit,32,2034,,,No
4988-DNKW,46,164,416.1,138,515.2,Yes,yes,0,0,0,No,0,AL,387-2919,Female,41,No,No,No,0,No,Two Year,Credit Card,17,768,,,No
8781-YXBL,24,131,355.7,0,0,No,no,0,0,11,Yes,0,NY,374-8525,Female,40,No,No,No,0,No,Month-to-Month,Direct Debit,28,672,,,No
4923-PXAV,63,211,506,0,0,No,no,0,0,0,No,0,FL,379-5592,Female,23,Yes,No,No,0,No,Two Year,Credit Card,9,595,,,No
1867-FBPS,60,210,537.5,0,0,No,no,0,0,0,No,0,AK,345-8237,Male,62,No,No,No,0,No,Two Year,Credit Card,13,754,,,No
5088-QWNF,73,265,729.8,0,0,No,no,0,0,3,Yes,0,DE,346-2359,Female,68,No,Yes,No,0,Yes,Two Year,Credit Card,38,2808,,,No
5570-GABM,59,152,354.6,0,0,No,no,0,0,11,Yes,0,MI,381-4756,Female,38,No,No,No,0,No,Two Year,Direct Debit,59,3479,,,No
4316-MSBV,63,84,313.7,0,0,No,no,0,0,4,Yes,0,VT,390-2805,Male,33,No,No,No,0,No,One Year,Credit Card,40,2535,,,No
1501-UIMO,73,124,366.6,511,1029.3,Yes,yes,0,0,0,No,0,VT,390-2390,Male,70,No,Yes,No,0,No,Two Year,Direct Debit,8,621,,,No
5637-EXFL,65,121,259.1,0,0,No,no,0,0,3,Yes,0,MI,419-9097,Female,54,No,No,No,0,No,Two Year,Credit Card,55,3552,,,No
9631-SNXG,3,4,12.5,0,0,No,no,0,0,0,No,0,WA,386-7281,Male,45,No,No,No,0,No,One Year,Credit Card,9,27,,,No
9797-UVHV,30,146,329.1,0,0,No,no,0,0,1,No,0,LA,390-8760,Male,50,No,No,No,0,Yes,One Year,Credit Card,42,1259,,,No
6677-UAIY,73,170,366.6,0,0,No,no,0,0,16,Yes,0,OH,336-7600,Female,29,Yes,No,No,0,Yes,One Year,Credit Card,36,2676,,,No
3213-OZLH,61,211,484.6,0,0,No,no,0,0,6,Yes,0,RI,383-6293,Male,49,No,No,No,0,Yes,Two Year,Direct Debit,32,1956,,,No
9462-HMVN,22,115,281.5,0,0,No,no,0,0,8,No,34,OH,370-9116,Female,25,Yes,No,No,0,No,Month-to-Month,Direct Debit,43,924,,,No
6951-KCHP,21,103,270.9,0,0,No,no,0,0,0,No,0,VA,328-6289,Male,36,No,No,No,0,No,One Year,Credit Card,8,169,,,No
0603-QZRV,16,85,239.1,0,0,No,no,0,0,9,Yes,0,MO,350-9994,Male,41,No,No,No,0,Yes,Two Year,Credit Card,24,386,,,No
1476-JLHH,10,77,137.1,0,0,No,no,0,0,0,No,0,FL,351-4616,Male,43,No,No,No,0,No,Two Year,Direct Debit,15,142,,,No
4549-UHYE,2,4,11.6,0,0,No,no,0,0,2,Yes,0,IA,406-4710,Female,52,No,No,No,0,No,Month-to-Month,Direct Debit,35,68,,,No
3163-BOSK,54,330,642.7,0,0,No,no,0,0,1,Yes,0,MI,409-8743,Male,38,No,No,No,0,Yes,Two Year,Direct Debit,43,2293,,,No
2547-NBGO,11,84,159,0,0,No,no,0,0,0,No,0,OK,335-4584,Female,21,Yes,No,No,0,No,One Year,Credit Card,10,117,,,No
5341-UWGY,69,248,753.7,0,0,No,no,0,0,0,No,0,DE,361-9845,Male,43,No,No,No,0,No,Two Year,Credit Card,10,695,,,No
9859-GGCF,70,342,913.1,0,0,No,no,0,0,6,Yes,0,DC,329-9364,Male,38,No,No,No,0,Yes,Two Year,Direct Debit,52,3654,,,No
4822-HGQI,42,151,336.1,0,0,No,no,0,0,11,Yes,0,CO,338-9398,Male,59,No,No,No,0,Yes,One Year,Direct Debit,42,1778,,,No
9331-EMHQ,14,25,72.1,0,0,No,no,0,0,8,Yes,0,NM,381-2709,Male,51,No,No,No,0,Yes,Two Year,Credit Card,54,780,,,No
1022-MXDZ,32,145,350.4,0,0,No,no,0,0,0,No,0,LA,415-2393,Female,59,No,No,No,0,No,One Year,Direct Debit,12,372,,,No
8362-WLIZ,32,58,126.3,0,0,No,no,0,0,0,No,0,NE,377-1765,Prefer not to say,53,No,No,No,0,No,Month-to-Month,Direct Debit,10,319,,,No
1723-BADW,61,298,792,0,0,No,no,0,0,0,No,0,KS,411-4582,Male,24,Yes,No,No,0,No,One Year,Credit Card,9,543,,,No
7529-FNNU,1,7,10,0,0,No,no,0,0,21,Yes,0,AK,372-3750,Female,25,Yes,No,No,0,No,Month-to-Month,Credit Card,22,22,,,No
3212-TFMM,33,75,262.6,0,0,No,no,0,0,8,Yes,0,NH,361-3337,Male,38,No,No,No,0,Yes,One Year,Credit Card,43,1411,,,No
2593-RBZA,20,135,237.2,0,0,No,no,0,0,9,Yes,0,NY,422-1471,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,34,669,,,No
0696-BYCU,3,17,43.2,0,0,No,no,0,0,30,Yes,0,AZ,399-7865,Male,21,Yes,No,No,0,No,Month-to-Month,Direct Debit,17,45,,,No
4944-CIHW,12,103,199.3,0,0,No,no,0,0,0,No,0,WY,373-4819,Female,59,No,No,No,0,No,One Year,Direct Debit,12,147,,,No
4245-YWPM,42,236,630.5,0,0,No,no,0,0,12,Yes,0,WA,338-6981,Female,66,No,Yes,No,0,No,Month-to-Month,Credit Card,36,1533,,,No
2095-XLTB,44,188,397.2,0,0,No,no,0,0,26,Yes,0,CO,418-4365,Male,24,Yes,No,No,0,No,One Year,Credit Card,25,1102,,,No
5985-QISQ,70,170,557.1,0,0,No,no,0,0,0,No,0,KY,375-3586,Female,41,No,No,No,0,No,Two Year,Direct Debit,9,616,,,No
7789-ZPFF,74,520,1111.6,0,0,No,no,0,0,2,Yes,0,MT,407-8376,Female,41,No,No,No,0,Yes,Two Year,Credit Card,41,3059,,,No
9712-UUEV,62,137,370.8,0,0,No,no,0,0,0,No,0,OK,408-6496,Male,36,No,No,No,0,No,Two Year,Credit Card,7,427,,,No
0443-JVDX,20,87,236.4,0,0,No,no,0,0,8,Yes,0,MD,385-7688,Female,31,No,No,No,0,No,Month-to-Month,Direct Debit,49,973,,,No
1497-NJGC,59,141,409.9,0,0,No,no,0,0,26,Yes,0,TX,378-3625,Male,19,Yes,No,No,0,Yes,Month-to-Month,Direct Debit,60,3487,,,No
5437-THZS,26,157,315.7,0,0,No,no,0,0,9,Yes,0,MN,358-3261,Female,59,No,No,No,0,No,One Year,Credit Card,52,1363,,,No
3132-ZCXO,14,54,180.6,0,0,No,no,0,0,11,Yes,0,DE,377-9932,Female,49,No,No,No,0,No,Month-to-Month,Credit Card,53,733,,,No
7736-ZVZC,43,164,472.7,0,0,No,no,0,0,7,Yes,0,WA,341-8467,Male,44,No,No,No,0,No,Month-to-Month,Credit Card,41,1774,,,No
9013-KMUQ,34,102,302.2,0,0,No,no,0,0,4,Yes,0,MO,339-9453,Female,62,No,No,No,0,No,One Year,Direct Debit,37,1229,,,No
3877-IZTZ,75,126,301.5,0,0,No,no,0,0,12,Yes,0,IN,344-3388,Male,33,No,No,No,0,Yes,Two Year,Credit Card,29,2183,,,No
5731-BGMG,65,246,714.4,0,0,No,no,0,0,23,Yes,0,RI,386-3671,Male,22,Yes,No,No,0,Yes,One Year,Credit Card,61,3944,,,No
6459-UAFN,1,5,13,11,11.9,Yes,yes,0,0,1,Yes,0,AZ,346-7795,Female,43,No,No,No,0,No,Month-to-Month,Direct Debit,17,17,,,No
8088-BQFU,27,219,405,0,0,No,no,0,0,0,No,0,AZ,405-1842,Female,25,Yes,No,No,0,No,One Year,Direct Debit,13,348,,,No
8737-CDBU,23,141,295.9,92,404.8,Yes,yes,0,0,1,Yes,0,FL,366-6345,Male,64,No,No,No,0,No,One Year,Direct Debit,37,847,,,No
6799-KEBR,59,156,409.6,0,0,No,no,0,0,6,Yes,0,LA,337-9345,Female,48,No,No,No,0,Yes,Month-to-Month,Direct Debit,36,2104,,,No
0815-COLE,69,130,346.9,0,0,No,no,0,0,9,Yes,0,FL,328-6770,Male,45,No,No,No,0,Yes,Two Year,Credit Card,19,1302,,,No
6495-MIAB,67,250,870.3,0,0,No,no,0,0,6,Yes,0,FL,380-7321,Male,41,No,No,No,0,Yes,Two Year,Direct Debit,32,2174,,,No
2607-EPFH,63,266,632.4,0,0,No,no,0,0,5,Yes,0,MD,375-1476,Male,49,No,No,No,0,Yes,Two Year,Direct Debit,51,3242,,,No
0790-HZYB,8,42,85.9,0,0,No,no,0,0,18,Yes,0,AL,356-1567,Female,26,Yes,No,No,0,No,Month-to-Month,Direct Debit,34,267,,,No
8456-TAUF,74,466,1113.3,0,0,No,no,0,0,0,No,0,TN,336-1090,Female,53,No,No,No,0,No,Two Year,Direct Debit,8,617,,,No
4418-MJGM,1,5,13,0,0,No,no,0,0,0,No,0,MS,343-2095,Male,35,No,No,No,0,No,One Year,Direct Debit,10,10,,,No
7283-XTJW,11,36,90.7,0,0,No,no,0,0,0,No,0,OK,338-8050,Female,51,No,No,No,0,No,One Year,Direct Debit,8,93,,,No
0545-AFAG,25,132,382,0,0,No,no,0,0,15,Yes,0,IN,388-9568,Male,30,No,No,No,0,No,One Year,Paper Check,29,727,,,No
4672-CQIQ,31,120,407.8,0,0,No,no,0,0,14,Yes,0,MO,402-6591,Female,26,Yes,No,No,0,Yes,One Year,Paper Check,32,1013,,,No
2824-QJTP,30,210,484.7,0,0,No,no,0,0,1,Yes,0,VA,386-9790,Male,66,No,Yes,No,0,No,Month-to-Month,Credit Card,41,1230,,,No
2093-YEMR,48,60,192.6,0,0,No,no,0,0,26,No,57,KY,378-5692,Female,22,Yes,No,No,0,No,Two Year,Credit Card,31,1509,,,No
4429-DMVA,53,297,746.8,106,556.5,Yes,yes,0,0,1,Yes,0,MD,360-3324,Male,53,No,No,No,0,No,Two Year,Credit Card,65,3452,,,No
3501-GSCQ,51,226,609.3,306,561,Yes,yes,0,0,11,Yes,0,OH,410-3719,Male,62,No,No,No,0,No,Month-to-Month,Credit Card,53,2713,,,No
0353-VDEC,77,363,928.5,0,0,No,no,0,0,0,No,0,NV,327-6179,Female,66,No,Yes,No,0,No,Two Year,Credit Card,13,1017,,,No
9944-LAXU,28,166,390.8,140,252,Yes,yes,0,0,0,No,0,ID,359-6196,Female,46,No,No,No,0,No,Month-to-Month,Direct Debit,14,397,,,No
5801-KQFY,10,34,70.7,0,0,No,no,0,0,7,Yes,0,SD,357-4078,Female,44,No,No,No,0,No,Two Year,Paper Check,15,156,,,No
1998-WXQP,18,139,285.6,0,0,No,no,0,0,12,Yes,0,IL,366-5780,Male,41,No,No,No,0,No,Month-to-Month,Direct Debit,42,754,,,No
2723-OOHS,14,61,129.6,0,0,No,no,0,0,0,No,0,AL,355-9295,Male,43,No,No,No,0,No,Two Year,Paper Check,7,99,,,No
5956-HJOF,73,476,953.3,0,0,No,no,0,0,3,Yes,0,NJ,400-5751,Female,36,No,No,No,0,Yes,Two Year,Direct Debit,54,3996,,,No
2339-RNOX,72,161,360.7,144,885.6,Yes,yes,0,0,11,Yes,0,NV,338-1027,Male,53,No,No,No,0,Yes,Two Year,Direct Debit,71,5129,,,No
1422-CZKM,43,81,213.4,0,0,No,no,0,0,4,Yes,0,IN,405-8867,Female,37,No,No,No,0,No,One Year,Credit Card,31,1306,,,No
0288-QBTS,65,258,843.6,0,0,No,no,0,0,13,Yes,0,WV,336-5616,Female,82,No,Yes,No,0,Yes,One Year,Direct Debit,47,3077,,,No
5972-TBZR,13,22,93.4,0,0,No,no,0,0,5,Yes,0,VA,335-1697,Female,66,No,Yes,No,0,Yes,One Year,Direct Debit,32,429,,,No
1843-AELD,4,23,50.8,0,0,No,no,0,0,6,Yes,0,SC,331-5138,Prefer not to say,70,No,Yes,No,0,No,One Year,Direct Debit,34,123,,,No
7787-NLQX,39,124,272.7,0,0,No,no,0,0,8,No,66,RI,385-8240,Male,34,No,No,No,0,Yes,One Year,Paper Check,38,1478,,,No
5332-XPON,43,292,694.7,0,0,No,no,0,0,24,Yes,0,NM,349-1687,Male,30,No,No,No,0,Yes,One Year,Direct Debit,41,1798,,,No
6593-HFZC,49,220,592.9,0,0,No,no,0,0,15,Yes,0,OR,380-2558,Female,27,Yes,No,No,0,Yes,One Year,Direct Debit,37,1819,,,No
6255-VOJP,31,151,346.1,0,0,No,no,0,0,3,Yes,0,MI,349-2808,Male,60,No,No,No,0,Yes,One Year,Credit Card,39,1223,,,No
8316-LFXC,10,51,136.2,30,109,Yes,yes,0,0,0,No,0,TX,411-1715,Male,29,Yes,No,No,0,No,Month-to-Month,Credit Card,10,93,,,No
3689-KQVT,69,123,275.7,0,0,No,no,0,0,13,Yes,0,FL,385-2488,Female,21,Yes,No,No,0,Yes,Two Year,Direct Debit,34,2373,,,No
